Dataset,SiteCode,SiteCode_rev,Core_site,GPS_match,Old_RLS_SiteCode,SiteName,SiteName_rev,SiteLatitude,SiteLongitude,SiteLatitude_rev,SiteLongitude_rev,LocationName,Loc_new,MPA,Country,State,Ecoregion,Province,Realm,Zone name,NEOLI Total,No-take,Effectiveness_NEOLI,Isolation_NEOLI,area,Age,Zone,Effectiveness,No take multizoned, year of protection, area (km2), perimeter length (km), offshore extent (km),Distance to boundary (km),Artificial habitat,Isolation,WaveExposure,Relief,Slope,Currents,Measured,Estuary
RLS,ANT5,ANT5,,,,Wharf,Wharf,-67.57225,-68.1296,-67.57225,-68.1296,Adelaide Island,Antarctica,,Antarctica,Graham Land Antarctica,Antarctic Peninsula,Scotia Sea,Southern Ocean,,,,,,,,,,Fishing,,,,,,,,,,,,0,0
RLS,ANT7,ANT7,,,,Trovall,Trovall,-67.59583,-68.2114,-67.59583,-68.2114,Adelaide Island,Antarctica,,Antarctica,Graham Land Antarctica,Antarctic Peninsula,Scotia Sea,Southern Ocean,,,,,,,,,,Fishing,,,,,,,,,,,,0,0
RLS,ANT9,ANT9,,,,Anchorage Wall,Anchorage Wall,-67.59944,-68.19389,-67.59944,-68.19389,Adelaide Island,Antarctica,,Antarctica,Graham Land Antarctica,Antarctic Peninsula,Scotia Sea,Southern Ocean,,,,,,,,,,Fishing,,,,,,,,,,,,0,0
RLS,ARG13,ARG13,,,,Alejos Crack,Alejos Crack,-41.94308,-65.05764,-41.94308,-65.05764,Argentinian Gulfs,Argentinian Gulfs,,Argentina,Rio Negro,North Patagonian Gulfs,Magellanic,Temperate South America,,,,,,,,,,Fishing,,,,,,,,3,3,1,1,1,0
RLS,ARG12,ARG12,,,,La Islita,La Islita,-41.95203,-65.06206,-41.95203,-65.06206,Argentinian Gulfs,Argentinian Gulfs,,Argentina,Rio Negro,North Patagonian Gulfs,Magellanic,Temperate South America,,,,,,,,,,Fishing,,,,,,,,3,3,1,1,1,0
RLS,ARG11,ARG11,,,,Punta la Islita,Punta la Islita,-41.95856,-65.05808,-41.95856,-65.05808,Argentinian Gulfs,Argentinian Gulfs,,Argentina,Rio Negro,North Patagonian Gulfs,Magellanic,Temperate South America,,,,,,,,,,Fishing,,,,,,,,3,3,1,1,1,0
RLS,ARG1,ARG1,,,,San Roman,San Roman,-42.25556,-64.23408,-42.25556,-64.23408,Argentinian Gulfs,Argentinian Gulfs,,Argentina,Chubut,North Patagonian Gulfs,Magellanic,Temperate South America,,,,,,,,,,Fishing,,,,,,,,2,2,1,2,1,0
RLS,ARG3,ARG3,,,,PNU,PNU,-42.62194,-64.275,-42.62194,-64.275,Argentinian Gulfs,Argentinian Gulfs,,Argentina,Chubut,North Patagonian Gulfs,Magellanic,Temperate South America,,,,,,,,,,Fishing,,,,,,,,2,2,1,2,1,0
RLS,ARG2,ARG2,,,,Pafer,Pafer,-42.62544,-64.25611,-42.62544,-64.25611,Argentinian Gulfs,Argentinian Gulfs,,Argentina,Chubut,North Patagonian Gulfs,Magellanic,Temperate South America,,,,,,,,,,Fishing,,,,,,,,2,2,1,2,1,0
RLS,ARG4,ARG4,,,,Colombo,Colombo,-42.62836,-64.24044,-42.62836,-64.24044,Argentinian Gulfs,Argentinian Gulfs,,Argentina,Chubut,North Patagonian Gulfs,Magellanic,Temperate South America,,,,,,,,,,Fishing,,,,,,,,2,2,1,2,1,0
RLS,ARG5,ARG5,,,,Wreck Mirralles,Wreck Mirralles,-42.76925,-64.97011,-42.76925,-64.97011,Argentinian Gulfs,Argentinian Gulfs,,Argentina,Chubut,North Patagonian Gulfs,Magellanic,Temperate South America,,,,,,,,,,Fishing,,,,,,Wreck,,2,4,1,2,1,0
RLS,ARG7,ARG7,,,,Sitio Top Secret,Sitio Top Secret,-42.77069,-64.93636,-42.77069,-64.93636,Argentinian Gulfs,Argentinian Gulfs,,Argentina,Chubut,North Patagonian Gulfs,Magellanic,Temperate South America,,,,,,,,,,Fishing,,,,,,,,2,1,1,1,1,0
RLS,ARG6,ARG6,,,,Punta Este,Punta Este,-42.77528,-64.94983,-42.77528,-64.94983,Argentinian Gulfs,Argentinian Gulfs,,Argentina,Chubut,North Patagonian Gulfs,Magellanic,Temperate South America,,,,,,,,,,Fishing,,,,,,,,2,2,1,1,1,0
RLS,ARG10,ARG10,,,,Los Bollones,Los Bollones,-42.93361,-64.50111,-42.93361,-64.50111,Argentinian Gulfs,Argentinian Gulfs,,Argentina,Chubut,North Patagonian Gulfs,Magellanic,Temperate South America,,,,,,,,,,Fishing,,,,,,,,2,1,1,1,1,0
RLS,ARG8,ARG8,,,,El Bosque,El Bosque,-42.94156,-64.45508,-42.94156,-64.45508,Argentinian Gulfs,Argentinian Gulfs,,Argentina,Chubut,North Patagonian Gulfs,Magellanic,Temperate South America,,,,,,,,,,Fishing,,,,,,,,2,3,1,2,1,0
RLS,ARG9,ARG9,,,,El Pedral,El Pedral,-42.94778,-64.43342,-42.94778,-64.43342,Argentinian Gulfs,Argentinian Gulfs,,Argentina,Chubut,North Patagonian Gulfs,Magellanic,Temperate South America,,,,,,,,,,Fishing,,,,,,,,2,1,1,1,1,0
RLS,OS1,OS1,,,,Flinders Shoal East,Flinders Shoal East,-9.52704,129.1726,-9.8784,129.28767,Offshore Shoals,Oceanic Shoals,,Australia,Northern Territory,Bonaparte Coast,Sahul Shelf,Central Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,4,3,2,4,0,0
RLS,OS2,OS2,,,,Flinders Shoal Central,Flinders Shoal Central,-9.52823,129.17178,-9.88038,129.2863,Offshore Shoals,Oceanic Shoals,,Australia,Northern Territory,Bonaparte Coast,Sahul Shelf,Central Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,4,3,2,4,0,0
RLS,QLD94,TS27,,,QLD94,Mourilyan Reef,Mourilyan Reef,-9.7946,142.62988,-9.7946,142.62988,Queensland (other),Torres Strait,,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,1,2,3,3,1,0
RLS,QLD98,TS26,,,QLD98,Hannah Bank E,Hannah Bank E,-9.85555,143.59785,-9.85555,143.59785,Queensland (other),Torres Strait,,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,3,3,1,4,1,0
RLS,QLD97,TS25,,,QLD97,Hannah Banks SW,Hannah Banks SW,-9.8559,143.59106,-9.8559,143.59106,Queensland (other),Torres Strait,,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,3,3,2,3,1,0
RLS,QLD96,TS24,,,QLD96,Bourke Islet NW,Bourke Islet NW,-9.87725,142.48535,-9.87725,143.48535,Queensland (other),Torres Strait,,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,2,4,3,3,1,0
RLS,QLD95,TS23,,,QLD95,Bourke Islet W,Bourke Islet W,-9.88024,143.4815,-9.88024,143.4815,Queensland (other),Torres Strait,,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,2,3,3,3,1,0
RLS,OS4,OS4,,,,Blackwood Shoal,Blackwood Shoal,-9.88453,129.41618,-9.88453,129.41618,Offshore Shoals,Oceanic Shoals,,Australia,Northern Territory,Bonaparte Coast,Sahul Shelf,Central Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,4,3,2,4,0,0
RLS,OS3,OS3,,,,Evans Shoal,Evans Shoal,-9.88632,129.54748,-9.88632,129.54748,Offshore Shoals,Oceanic Shoals,,Australia,Northern Territory,Bonaparte Coast,Sahul Shelf,Central Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,4,3,2,4,0,0
RLS,QLD104,TS22,,,QLD104,Dowar Island SW,Dowar Island SW,-9.94215,144.02049,-9.94215,144.02049,Queensland (other),Torres Strait,,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,2,3,3,3,1,0
RLS,QLD103,TS21,,,QLD103,Waier Island,Waier Island,-9.9513,144.03178,-9.9513,144.03178,Queensland (other),Torres Strait,,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,3,3,3,3,1,0
RLS,QLD100,TS20,,,QLD100,Murray Channel,Murray Channel,-9.95826,144.15061,-9.95826,144.15061,Queensland (other),Torres Strait,,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,2,3,3,3,1,0
RLS,QLD102,TS19,,,QLD102,Mer Slope,Mer Slope,-9.96049,144.15589,-9.96049,144.15589,Queensland (other),Torres Strait,,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,3,3,3,4,1,0
RLS,QLD101,TS18,,,QLD101,Mer Passage,Mer Passage,-9.96107,144.15357,-9.96107,144.15357,Queensland (other),Torres Strait,,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,3,3,3,4,1,0
RLS,CS207,CS207,,,,Boot Reef Longiceps Point,Boot Reef Longiceps Point,-9.96837,144.69456,-9.96837,144.69456,Coral Sea,Coral Sea - North,Coral Sea AMP,Australia,Queensland,Gulf of Papua,Sahul Shelf,Central Indo-Pacific,Habitat Protection Zone,,,,,,,Habitat Protection Zone,Medium,Restricted take multizoned,2018,11963,,,,,,2,3,4,3,1,0
RLS,QLD99,TS17,,,QLD99,Mer Outer Reef,Mer Outer Reef,-9.97146,144.1537,-9.97146,144.1537,Queensland (other),Torres Strait,,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,4,3,3,4,1,0
RLS,CS206,CS206,,,,Boot Reef Birds,Boot Reef Birds,-9.97227,144.68823,-9.97578,144.68924,Coral Sea,Coral Sea - North,Coral Sea AMP,Australia,Queensland,Gulf of Papua,Sahul Shelf,Central Indo-Pacific,Habitat Protection Zone,,,,,,,Habitat Protection Zone,Medium,Restricted take multizoned,2018,11963,,,,,,2,3,4,2,1,0
RLS,CS209,CS209,,,,Boot Reef Lagoon W,Boot Reef Lagoon W,-9.97456,144.694,-9.97456,144.694,Coral Sea,Coral Sea - North,Coral Sea AMP,Australia,Queensland,Gulf of Papua,Sahul Shelf,Central Indo-Pacific,Habitat Protection Zone,,,,,,,Habitat Protection Zone,Medium,Restricted take multizoned,2018,11963,,,,,,1,4,3,1,1,0
RLS,CS205,CS205,,,,Boot Reef NW Point,Boot Reef NW Point,-9.98595,144.67923,-9.98595,144.67923,Coral Sea,Coral Sea - North,Coral Sea AMP,Australia,Queensland,Gulf of Papua,Sahul Shelf,Central Indo-Pacific,Habitat Protection Zone,,,,,,,Habitat Protection Zone,Medium,Restricted take multizoned,2018,11963,,,,,,2,3,3,2,1,0
RLS,CS208,CS208,,,,Boot Reef Lagoon E,Boot Reef Lagoon E,-9.98877,144.6913,-9.98877,144.6913,Coral Sea,Coral Sea - North,Coral Sea AMP,Australia,Queensland,Gulf of Papua,Sahul Shelf,Central Indo-Pacific,Habitat Protection Zone,,,,,,,Habitat Protection Zone,Medium,Restricted take multizoned,2018,11963,,,,,,1,4,3,1,1,0
RLS,CS194,CS194,,,,Boot Reef lagoon bommie,Boot Reef lagoon bommie,-10.03484,144.69893,-10.03484,144.69893,Coral Sea,Coral Sea - North,Coral Sea AMP,Australia,Queensland,Gulf of Papua,Sahul Shelf,Central Indo-Pacific,Habitat Protection Zone,,,,,,,Habitat Protection Zone,Medium,Restricted take multizoned,2018,11963,,,,,,1,4,4,1,1,0
RLS,CS193,CS193,,,,Boot Rf Wall,Boot Rf Wall,-10.03875,144.69198,-10.03875,144.69198,Coral Sea,Coral Sea - North,Coral Sea AMP,Australia,Queensland,Gulf of Papua,Sahul Shelf,Central Indo-Pacific,Habitat Protection Zone,,,,,,,Habitat Protection Zone,Medium,Restricted take multizoned,2018,11963,,,,,,2,4,4,3,1,0
RLS,CS210,CS210,,,,Boot Reef South Point,Boot Reef South Point,-10.04321,144.68963,-10.04321,144.68963,Coral Sea,Coral Sea - North,Coral Sea AMP,Australia,Queensland,Gulf of Papua,Sahul Shelf,Central Indo-Pacific,Habitat Protection Zone,,,,,,,Habitat Protection Zone,Medium,Restricted take multizoned,2018,11963,,,,,,3,2,4,4,1,0
RLS,QLD108,TS16,,,QLD108,Maze Lagoon Bommy,Maze Lagoon Bommy,-10.05737,143.83832,-10.05737,143.83832,Queensland (other),Torres Strait,,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,2,3,3,2,1,0
RLS,QLD109,TS15,,,QLD109,Maze Lagoon Reef,Maze Lagoon Reef,-10.05785,143.84266,-10.05785,143.84266,Queensland (other),Torres Strait,,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,2,3,1,2,1,0
RLS,QLD110,TS14,,,QLD110,Round Maze,Round Maze,-10.0599,143.883,-10.0599,143.883,Queensland (other),Torres Strait,,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,2,3,2,2,1,0
RLS,CS202,CS202,,,,Ashmore Reef NW,Ashmore Reef NW,-10.06544,144.52417,-10.06544,144.52417,Coral Sea,Coral Sea - North,Coral Sea AMP,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,Habitat Protection Zone,,,,,,,Habitat Protection Zone,Medium,Restricted take multizoned,2018,11963,,,,,,3,3,3,3,1,0
RLS,QLD107,TS13,,,QLD107,Morning Maze,Morning Maze,-10.06631,143.87446,-10.06631,143.87446,Queensland (other),Torres Strait,,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,1,3,2,2,1,0
RLS,QLD105,TS12,,,QLD105,The Maze Channel,The Maze Channel,-10.06687,143.86969,-10.06687,143.86969,Queensland (other),Torres Strait,,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,1,3,3,3,1,0
RLS,QLD106,TS11,,,QLD106,The Maze Anchorage,The Maze Anchorage,-10.0696,143.87544,-10.0696,143.87544,Queensland (other),Torres Strait,,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,1,3,2,2,1,0
RLS,CS201,CS201,,,,Ashmore Reef NNW point,Ashmore Reef NNW point,-10.07613,144.4715,-10.07613,144.4715,Coral Sea,Coral Sea - North,Coral Sea AMP,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,Habitat Protection Zone,,,,,,,Habitat Protection Zone,Medium,Restricted take multizoned,2018,11963,,,,,,3,3,4,3,1,0
RLS,CS204,CS204,,,,Boot Rock NW,Boot Rock NW,-10.10505,144.68513,-10.10505,144.68513,Coral Sea,Coral Sea - North,Coral Sea AMP,Australia,Queensland,Gulf of Papua,Sahul Shelf,Central Indo-Pacific,Habitat Protection Zone,,,,,,,Habitat Protection Zone,Medium,Restricted take multizoned,2018,11963,,,,,,3,3,3,3,1,0
RLS,CS203,CS203,,,,Boot Rock W,Boot Rock W,-10.10677,144.68304,-10.10677,144.68304,Coral Sea,Coral Sea - North,Coral Sea AMP,Australia,Queensland,Gulf of Papua,Sahul Shelf,Central Indo-Pacific,Habitat Protection Zone,,,,,,,Habitat Protection Zone,Medium,Restricted take multizoned,2018,11963,,,,,,3,3,3,3,1,0
RLS,CS200,CS200,,,,Ashmore Reef NW slope,Ashmore Reef NW slope,-10.11558,144.45777,-10.11558,144.45777,Coral Sea,Coral Sea - North,Coral Sea AMP,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,Habitat Protection Zone,,,,,,,Habitat Protection Zone,Medium,Restricted take multizoned,2018,11963,,,,,,3,4,4,3,1,0
RLS,CS214,CS214,,,,Gnathodentex Gulch,Gnathodentex Gulch,-10.13842,144.5742,-10.13842,144.5742,Coral Sea,Coral Sea - North,Coral Sea AMP,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,Habitat Protection Zone,,,,,,,Habitat Protection Zone,Medium,Restricted take multizoned,2018,11963,,,,,,2,3,3,3,1,0
RLS,CS199,CS199,,,,Ashmore NW Wall,Ashmore NW Wall,-10.14325,144.4407,-10.14325,144.4407,Coral Sea,Coral Sea - North,Coral Sea AMP,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,Habitat Protection Zone,,,,,,,Habitat Protection Zone,Medium,Restricted take multizoned,2018,11963,,,,,,3,4,4,3,1,0
RLS,CS211,CS211,,,,Kate's Garden,Kate's Garden,-10.14414,144.57626,-10.14414,144.57626,Coral Sea,Coral Sea - North,Coral Sea AMP,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,Habitat Protection Zone,,,,,,,Habitat Protection Zone,Medium,Restricted take multizoned,2018,11963,,,,,,2,3,3,3,1,0
RLS,CS212,CS212,,,,Ashmore Reef NE bommy,Ashmore Reef NE bommy,-10.14587,144.57013,-10.14587,144.57013,Coral Sea,Coral Sea - North,Coral Sea AMP,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,Habitat Protection Zone,,,,,,,Habitat Protection Zone,Medium,Restricted take multizoned,2018,11963,,,,,,2,4,4,2,1,0
RLS,CS213,CS213,,,,Ashmore Reef NE passage,Ashmore Reef NE passage,-10.15276,144.57715,-10.15276,144.57715,Coral Sea,Coral Sea - North,Coral Sea AMP,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,Habitat Protection Zone,,,,,,,Habitat Protection Zone,Medium,Restricted take multizoned,2018,11963,,,,,,3,3,3,3,1,0
RLS,CS218,CS218,,,,Ctenochaetus Reef,Ctenochaetus Reef,-10.19376,144.41151,-10.19376,144.41151,Coral Sea,Coral Sea - North,Coral Sea AMP,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,Habitat Protection Zone,,,,,,,Habitat Protection Zone,Medium,Restricted take multizoned,2018,11963,,,,,,3,3,4,4,1,0
